,file,number,date_time,weight,Sex_Limit_Category,species,farm,house,gender,pen
380,JC06F16,1,2022-10-07 13:59:37,0.879,not used,J,C,06,F,16
381,JC06F16,2,2022-10-07 13:59:44,0.879,not used,J,C,06,F,16
382,JC06F16,3,2022-10-07 13:59:51,0.924,not used,J,C,06,F,16
383,JC06F16,4,2022-10-07 14:00:03,0.907,not used,J,C,06,F,16
384,JC06F16,5,2022-10-07 14:00:11,0.977,not used,J,C,06,F,16
385,JC06F16,6,2022-10-07 14:00:22,0.935,not used,J,C,06,F,16
386,JC06F16,7,2022-10-07 14:00:29,0.944,not used,J,C,06,F,16
387,JC06F16,8,2022-10-07 14:00:36,0.907,not used,J,C,06,F,16
388,JC06F16,9,2022-10-07 14:00:43,1.055,not used,J,C,06,F,16
389,JC06F16,10,2022-10-07 14:00:50,0.939,not used,J,C,06,F,16
390,JC06F16,11,2022-10-07 14:00:56,0.947,not used,J,C,06,F,16
391,JC06F16,12,2022-10-07 14:01:03,1.060,not used,J,C,06,F,16
392,JC06F16,13,2022-10-07 14:01:10,0.936,not used,J,C,06,F,16
393,JC06F16,14,2022-10-07 14:01:16,1.003,not used,J,C,06,F,16
394,JC06F16,15,2022-10-07 14:01:22,0.814,not used,J,C,06,F,16
395,JC06F16,16,2022-10-07 14:01:29,0.917,not used,J,C,06,F,16
396,JC06F16,17,2022-10-07 14:01:36,1.022,not used,J,C,06,F,16
397,JC06F16,18,2022-10-07 14:01:43,1.032,not used,J,C,06,F,16
398,JC06F16,19,2022-10-07 14:01:50,0.937,not used,J,C,06,F,16
399,JC06F16,20,2022-10-07 14:01:57,1.039,not used,J,C,06,F,16
400,JC06F16,21,2022-10-07 14:02:04,0.980,not used,J,C,06,F,16
401,JC06F16,22,2022-10-07 14:02:11,0.870,not used,J,C,06,F,16
402,JC06F16,23,2022-10-07 14:02:18,0.837,not used,J,C,06,F,16
403,JC06F16,24,2022-10-07 14:02:25,0.822,not used,J,C,06,F,16
404,JC06F16,25,2022-10-07 14:02:32,0.917,not used,J,C,06,F,16
405,JC06F16,26,2022-10-07 14:02:40,1.029,not used,J,C,06,F,16
406,JC06F16,27,2022-10-07 14:02:55,1.128,not used,J,C,06,F,16
407,JC06F16,28,2022-10-07 14:03:02,0.899,not used,J,C,06,F,16
408,JC06F16,29,2022-10-07 14:03:09,0.931,not used,J,C,06,F,16
409,JC06F16,30,2022-10-07 14:03:16,0.983,not used,J,C,06,F,16
410,JC06F16,31,2022-10-07 14:03:23,0.859,not used,J,C,06,F,16
411,JC06F16,32,2022-10-07 14:03:30,1.031,not used,J,C,06,F,16
412,JC06F16,33,2022-10-07 14:03:37,0.935,not used,J,C,06,F,16
413,JC06F16,34,2022-10-07 14:03:44,0.912,not used,J,C,06,F,16
414,JC06F16,35,2022-10-07 14:03:51,0.935,not used,J,C,06,F,16
415,JC06F16,36,2022-10-07 14:03:58,0.862,not used,J,C,06,F,16
416,JC06F16,37,2022-10-07 14:04:05,0.971,not used,J,C,06,F,16
417,JC06F16,38,2022-10-07 14:04:12,0.843,not used,J,C,06,F,16
418,JC06F16,39,2022-10-07 14:04:20,0.880,not used,J,C,06,F,16
419,JC06F16,40,2022-10-07 14:04:27,0.992,not used,J,C,06,F,16
420,JC06F16,41,2022-10-07 14:04:34,0.900,not used,J,C,06,F,16
421,JC06F16,42,2022-10-07 14:04:41,0.881,not used,J,C,06,F,16
